dropper_s,dropper_win
0,0.5449250364
1,0.5418712082
2,0.5391218949
3,0.5363842600
4,0.5336499644
5,0.5309246083
6,0.5282027097
7,0.5254901417
8,0.5227797352
9,0.5200793713
10,0.5173797762
11,0.5146891574
12,0.5120006591
13,0.5093209550
14,0.5066409151
15,0.5039671535
16,0.5012966953
17,0.4986355333
18,0.4959741175
19,0.4933210853
20,0.4906649148
21,0.4880190321
22,0.4853727887
23,0.4827344556
24,0.4800955102
25,0.4774635641
26,0.4748300551
27,0.4722043222
28,0.4695770951
29,0.4669568565
30,0.4643258537
31,0.4616958417
32,0.4590864577
33,0.4564830590
34,0.4538793321
35,0.4512803680
36,0.4486812161
37,0.4460877406
38,0.4434932446
39,0.4409054366
40,0.4383133205
41,0.4357294036
42,0.4331458310
43,0.4305685849
44,0.4279896217
45,0.4254120907
46,0.4228385334
47,0.4202722478
48,0.4177039638
49,0.4151430804
50,0.4125775864
51,0.4100212999
52,0.4074630995
53,0.4049117825
54,0.4023592170
55,0.3998124551
56,0.3972649612
57,0.3947239965
58,0.3921815649
59,0.3896455163
60,0.3870957526
