minute,hal_win,drop_second_1,drop_second_2
44,0.697270,0.000000,0.413159
45,0.346180,0.859941,0.002049
46,0.213984,0.774775,0.000096
47,0.691015,0.405950,0.005706
48,0.697442,0.000000,0.412925
49,0.339293,0.878559,0.002072
50,0.225156,0.957689,0.000921
51,0.694584,0.413104,0.005699
52,0.698656,0.406706,0.005761
53,0.343557,0.889406,0.001988
54,0.343557,0.889406,0.001988
55,0.698656,0.406706,0.005761
56,0.698656,0.406706,0.005761
57,0.335226,0.887914,0.001887
58,0.335226,0.887914,0.001887
59,0.698656,0.406706,0.005761
