second,drop,check,success_win,fail_win
1,0.2728884724,0.0214648804,0.4581287918,0.5775000867
2,0.0062850614,0.0209743289,0.4608781051,0.5775000867
3,0.0064031189,0.0205389064,0.4636157400,0.5775000867
4,0.0065423445,0.0200953604,0.4663500356,0.5775000867
5,0.0066717868,0.0196788610,0.4690753917,0.5775000867
6,0.0068162551,0.0192551132,0.4717972903,0.5775000867
7,0.0069504168,0.0188547647,0.4745098583,0.5775000867
8,0.0071035348,0.0184473200,0.4772202648,0.5775000867
9,0.0072420085,0.0180664459,0.4799206287,0.5775000867
10,0.0074042971,0.0176741950,0.4826202238,0.5775000867
11,0.0075514652,0.0173147590,0.4853108426,0.5775000867
12,0.0077171623,0.0169324013,0.4879993409,0.5775000867
13,0.0078712396,0.0165847357,0.4906790450,0.5775000867
14,0.0080491978,0.0162236484,0.4933590849,0.5775000867
15,0.0082160701,0.0158906791,0.4960328465,0.5775000867
16,0.0083931656,0.0155573101,0.4987033047,0.5775000867
17,0.0085603733,0.0152253571,0.5013644667,0.5775000867
18,0.0087526698,0.0148936184,0.5040258825,0.5775000867
19,0.0089295527,0.0145866835,0.5066789147,0.5775000867
20,0.0091362879,0.0142729860,0.5093350852,0.5775000867
21,0.0093171332,0.0139831889,0.5119809679,0.5775000867
22,0.0095258115,0.0136719149,0.5146272113,0.5775000867
23,0.0097202714,0.0133916013,0.5172655444,0.5775000867
24,0.0099381261,0.0131001702,0.5199044898,0.5775000867
25,0.0101434800,0.0128297134,0.5225364359,0.5775000867
26,0.0103726019,0.0125520132,0.5251699449,0.5775000867
27,0.0105855704,0.0122911387,0.5277956778,0.5775000867
28,0.0108240461,0.0120245536,0.5304229049,0.5775000867
29,0.0110485236,0.0117775458,0.5330431435,0.5775000867
30,0.0113181903,0.0115675703,0.5356741463,0.5775000867
31,0.0115675703,0.0113181903,0.5383041583,0.5775000867
32,0.0117775458,0.0110485236,0.5409135423,0.5775000867
33,0.0120245536,0.0108240461,0.5435169410,0.5775000867
34,0.0122911387,0.0105855704,0.5461206679,0.5775000867
35,0.0125520132,0.0103726019,0.5487196320,0.5775000867
36,0.0128297134,0.0101434800,0.5513187839,0.5775000867
37,0.0131001702,0.0099381261,0.5539122594,0.5775000867
38,0.0133916013,0.0097202714,0.5565067554,0.5775000867
39,0.0136719149,0.0095258115,0.5590945634,0.5775000867
40,0.0139831889,0.0093171332,0.5616866795,0.5775000867
41,0.0142729860,0.0091362879,0.5642705964,0.5775000867
42,0.0145866835,0.0089295527,0.5668541690,0.5775000867
43,0.0148936184,0.0087526698,0.5694314151,0.5775000867
44,0.0152253571,0.0085603733,0.5720103783,0.5775000867
45,0.0155573101,0.0083931656,0.5745879093,0.5775000867
46,0.0158906791,0.0082160701,0.5771614666,0.5775000867
47,0.0162236484,0.0080491978,0.5797277522,0.5775000867
48,0.0165847357,0.0078712396,0.5822960362,0.5775000867
49,0.0169324013,0.0077171623,0.5848569196,0.5775000867
50,0.0173147590,0.0075514652,0.5874224136,0.5775000867
51,0.0176741950,0.0074042971,0.5899787001,0.5775000867
52,0.0180664459,0.0072420085,0.5925369005,0.5775000867
53,0.0184473200,0.0071035348,0.5950882175,0.5775000867
54,0.0188547647,0.0069504168,0.5976407830,0.5775000867
55,0.0192551132,0.0068162551,0.6001875449,0.5775000867
56,0.0196788610,0.0066717868,0.6027350388,0.5775000867
57,0.0200953604,0.0065423445,0.6052760035,0.5775000867
58,0.0205389064,0.0064031189,0.6078184351,0.5775000867
59,0.0209743289,0.0062850614,0.6103544837,0.5775000867
60,0.0214648804,0.2728884724,0.6129042474,0.5775000867
